P_CODE,MMI_MAX,MMI_MEAN
C-JAN-19-097,6.64,6.63
C-JAN-19-098,6.90,6.85
C-JAN-19-099,6.98,6.93
C-JAN-19-100,6.89,6.86
C-JAN-20-001,8.32,8.04
C-JAN-20-002,5.90,5.68
C-JAN-20-003,6.12,5.93
C-JAN-20-004,6.42,6.26
C-JAN-20-005,7.19,6.87
C-JAN-20-006,8.15,8.03
C-JAN-20-007,6.87,6.51
C-JAN-20-008,8.03,7.64
C-JAN-20-009,7.35,7.21
C-JAN-20-010,7.04,6.55
C-JAN-20-011,6.82,6.59
C-JAN-20-012,6.59,6.41
C-JAN-20-013,8.60,8.16
C-JAN-20-014,6.45,6.18
C-JAN-20-015,6.51,6.14
C-JAN-20-016,8.23,7.92
C-JAN-20-017,6.35,6.02
C-JAN-20-018,6.51,6.24
C-JAN-20-019,7.51,7.35
C-JAN-20-020,6.47,6.22
C-JAN-20-021,7.99,7.92
C-JAN-20-022,5.93,5.76
C-JAN-20-023,6.16,5.60
C-JAN-20-024,8.49,8.02
C-JAN-20-025,8.04,7.35
C-JAN-20-026,8.54,8.21
C-JAN-20-027,6.01,5.86
C-JAN-20-028,6.12,5.88
C-JAN-20-029,7.95,7.87
C-JAN-20-030,8.15,7.27
C-JAN-20-031,6.52,6.03
C-JAN-20-032,6.36,6.08
C-JAN-20-033,5.97,5.73
C-JAN-20-034,8.63,8.24
C-JAN-20-035,8.15,7.88
C-JAN-20-036,7.82,7.56
C-JAN-20-037,8.21,8.06
C-JAN-20-038,6.50,6.31
C-JAN-20-039,7.94,7.53
C-JAN-20-040,8.01,7.90
C-JAN-20-041,6.91,6.59
C-JAN-20-042,7.73,6.91
C-JAN-20-043,7.32,7.10
C-JAN-20-044,5.82,5.64
C-JAN-20-045,8.35,8.07
C-JAN-20-046,6.36,6.03
C-JAN-20-047,7.85,7.67
C-JAN-20-048,5.81,5.72
C-JAN-20-049,6.32,5.99
C-JAN-20-050,8.16,8.06
C-JAN-20-051,6.47,5.98
C-JAN-20-052,7.05,6.60
C-JAN-20-053,6.19,6.07
C-JAN-20-054,6.11,5.93
C-JAN-21-001,6.26,6.12
C-JAN-21-002,6.79,6.66
C-JAN-21-003,7.86,7.77
C-JAN-21-004,7.77,7.62
C-JAN-21-005,7.58,7.31
C-JAN-21-006,7.92,7.75
C-JAN-21-007,6.39,6.22
C-JAN-21-008,6.55,6.38
C-JAN-21-009,7.34,7.25
C-JAN-21-010,7.22,7.05
C-JAN-21-011,6.67,6.22
C-JAN-21-012,7.72,7.61
C-JAN-21-013,6.59,6.43
C-JAN-21-014,7.82,7.73
C-JAN-21-015,7.71,7.67
C-JAN-21-016,6.52,6.35
C-JAN-21-017,6.94,6.66
C-JAN-21-018,7.27,7.02
C-JAN-21-019,7.71,7.61
C-JAN-21-020,6.55,6.35
