P_CODE,VDC_NAME,DISTRICT,REGION,MMI_MAX,MMI_MAX,POP_2011,POP_2011,POPDEN_2011,POPDEN_2011,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HUMAN_POVERTY_INDEX,HUMAN_POVERTY_INDEX,,,,,,,,,,,,,
C-BAG-24-027,FalateBhumlu,Kavrepalanchok,Central,7.76,8.99,1185,5.13,137.4,4.90,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-028,Falametar,Kavrepalanchok,Central,8.16,9.45,4234,6.06,84.14,4.41,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-029,Foksingtar,Kavrepalanchok,Central,8.18,9.47,2339,5.63,70.64,4.24,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-030,GairiBisouna Deupur,Kavrepalanchok,Central,7.84,9.08,5374,6.23,689.41,6.51,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-031,Ghartichhap,Kavrepalanchok,Central,8.22,9.52,2612,5.71,102.86,4.61,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-032,Gokule,Kavrepalanchok,Central,8.42,9.75,4837,6.15,95.19,4.54,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-033,Gothpani,Kavrepalanchok,Central,7.78,9.00,2292,5.61,172.93,5.13,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-034,HokseBazar,Kavrepalanchok,Central,7.99,9.26,4613,6.12,370.56,5.89,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-035,JaisithokMandan,Kavrepalanchok,Central,7.94,9.20,2965,5.80,359.48,5.86,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-036,JyamdiMandan,Kavrepalanchok,Central,7.91,9.16,4878,6.16,299.98,5.68,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-037,Kalati Bhumidanda,Kavrepalanchok,Central,8.04,9.31,3638,5.95,140.18,4.92,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-038,KanpurKalapani,Kavrepalanchok,Central,7.95,9.21,4376,6.08,233.29,5.43,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-039,KartikeDeurali,Kavrepalanchok,Central,7.79,9.02,3061,5.82,239.29,5.45,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-040,KatunjeBesi,Kavrepalanchok,Central,7.98,9.24,2399,5.64,282.68,5.62,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-041,KavreNitya Chandeswor,Kavrepalanchok,Central,8.01,9.28,4927,6.17,521.58,6.23,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-042,KhaharePangu,Kavrepalanchok,Central,8.01,9.27,2394,5.64,156.19,5.03,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-043,Khanalthok,Kavrepalanchok,Central,7.96,9.22,4707,6.13,367.26,5.88,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-044,Kharelthok,Kavrepalanchok,Central,7.86,9.10,2389,5.64,291.51,5.65,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-045,Kharpachok,Kavrepalanchok,Central,7.98,9.24,1676,5.38,182.4,5.18,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-046,KolatiBhumlu,Kavrepalanchok,Central,7.81,9.05,1322,5.21,184.79,5.20,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-047,Koshidekha,Kavrepalanchok,Central,7.90,9.15,1761,5.42,203.88,5.29,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-048,KuruwasChapakhori,Kavrepalanchok,Central,7.82,9.06,2753,5.74,276.89,5.60,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-049,Kushadevi,Kavrepalanchok,Central,8.08,9.35,7114,6.43,306.63,5.70,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-050,Machchhegaun,Kavrepalanchok,Central,7.90,9.15,6110,6.32,228.19,5.41,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-051,MadanKundari,Kavrepalanchok,Central,7.84,9.08,1897,5.47,220.14,5.37,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-052,Mahadevsthan,Kavrepalanchok,Central,7.84,9.08,8166,6.53,369.07,5.88,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-053,Mahadevtar,Kavrepalanchok,Central,7.97,9.23,2083,5.54,134.46,4.88,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-054,MahankalChaur,Kavrepalanchok,Central,8.01,9.28,3470,5.91,144.43,4.95,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-055,MahendraJyoti,Kavrepalanchok,Central,8.26,9.56,3409,5.90,620.22,6.40,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-056,MajhiFeda,Kavrepalanchok,Central,7.75,8.98,2669,5.72,243.8,5.47,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-057,Mangaltar,Kavrepalanchok,Central,7.98,9.24,3737,5.96,189.22,5.22,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-058,MathurapatiFulbari,Kavrepalanchok,Central,7.99,9.25,4458,6.09,297.5,5.67,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-059,Methinkot,Kavrepalanchok,Central,8.01,9.28,4721,6.13,220.58,5.37,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-060,Milche,Kavrepalanchok,Central,8.19,9.48,2693,5.73,119.53,4.76,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-061,NagreGagarche,Kavrepalanchok,Central,7.66,8.87,2237,5.59,188.03,5.21,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-062,Nala(Ugrachandi),Kavrepalanchok,Central,7.98,9.25,7198,6.44,682.42,6.50,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-063,NasikasthanSangha,Kavrepalanchok,Central,8.18,9.47,6121,6.32,666.7,6.47,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-064,NayagaunDeupur,Kavrepalanchok,Central,7.80,9.04,4417,6.09,345.54,5.82,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
